EventID,Duration,Latitude,Longitude,Cluster
0,1263.998,21.0928232,83.5287327,1
1,343.5,21.1912364,83.5869311,1
2,1358.165,20.1986492,83.2312064,1
3,2423.445,19.89153333333333,82.06593166666667,2
4,496.0,21.1667245,83.5788649,1
5,1547.0,21.7103171,86.6240053,0
6,812.452,20.6352218,84.4216154,1
7,355.83,22.3929965,84.9511595,0
8,1960.107,19.89153333333333,82.06593166666667,2
9,761.868,19.9067201,83.1616117,2
10,331.828,20.8387372,84.322003,1
11,393.2,21.7661521,85.9731422,0
12,961.272,20.600849,84.7848382,1
13,306.412,20.1621558,84.4165334,1
14,770.0,20.3554272,83.4416472,1
15,2032.834,22.0866551,86.1139743,0
16,1273.0,19.9066723,83.1615256,2
17,1116.75,21.784626666666668,84.58424666666667,1
18,1001.8,20.8513879,83.5097068,1
19,927.866,22.1148422,84.0483031,1
20,1391.0,21.1967786,83.5890014,1
21,993.75,21.203546,85.5953121,0
22,1208.75,19.346466666666668,83.124055,2
23,357.5,21.784615,84.58432666666667,1
24,1126.548,20.8386288,84.3220207,1
25,729.0,22.3929965,84.9511595,0
26,643.5,21.1932192,83.5878988,1
27,309.913,20.1932977,83.5152324,1
28,1135.748,18.8037004,82.7172388,2
29,21786.8,19.388086666666663,82.26740333333333,2
30,390.0,18.2916265,82.1204716,2
31,329.336,20.1934262,83.5150606,1
32,2119.041,19.5578387,82.8627577,2
33,393.111,19.891256666666667,82.06587666666667,2
34,1652.6,21.784686666666666,84.58436,1
35,947.334,19.39098,82.27014166666666,2
36,968.336,22.3929901,84.9511616,0
37,302.667,19.13866,82.31579333333333,2
38,886.834,20.2484255,86.1680496,0
39,1693.33,19.346535,83.12406333333334,2
40,355.25,20.0819567,82.4483129,2
41,649.0,20.9426602,83.5226449,1
42,1001.332,19.6241868,83.4923814,2
43,444.476,19.5438179,82.9308414,2
44,585.495,21.3398064,83.623116,1
45,317.0,21.2467402,83.7064406,1
46,326.104,19.9269266,84.5822828,1
47,587.667,18.1731,81.54117666666667,2
48,770.0,20.0620859,83.3848692,2
49,808.75,19.388036666666668,82.267505,2
50,597.664,20.2194667,86.4427165,0
51,309.166,21.1121543,83.5600125,1
52,896.223,19.891436666666667,82.06591166666666,2
53,2478.501,20.0980656,82.6304527,2
54,974.889,19.295236666666668,82.72285166666667,2
55,672.444,19.719096666666665,82.37015333333333,2
56,381.743,21.8802406,84.0264487,1
57,1425.86,20.8431758,83.9091724,1
58,2388.111,19.295201666666667,82.72284666666667,2
59,330.333,19.13878,82.31582166666666,2
60,320.656,20.8473127,83.8962029,1
61,2541.169,20.9795723,83.4893718,1
62,382.256,22.2134937,86.2870009,0
63,794.745,20.4070143,86.3459746,0
64,855.0,19.5337977,83.4962794,2
65,370.0,20.6730636,86.1111842,0
66,855.833,21.2086778,83.591662,1
67,356.0,22.1352065,84.4204778,1
68,534.666,18.610785,82.59544166666667,2
69,329.444,18.3636671,81.8984157,2
70,308.556,19.05965,82.53361666666666,2
71,524.778,19.71909,82.37029333333334,2
72,552.572,19.5337977,83.4962794,2
73,383.336,20.6280273,83.6859811,1
74,389.336,21.5311414,84.3744885,1
75,358.253,21.5742995,84.164804,1
76,1264.586,19.822093,83.4308149,2
77,342.0,18.109076666666667,81.65951333333334,2
78,330.996,20.6534847,85.6008267,0
79,621.111,19.2389678,83.8231303,2
80,460.59,20.2450888,82.5735411,2
81,595.0,20.7099256,83.5084062,1
82,927.777,18.3636832,81.8982343,2
83,307.161,20.3205718,86.5211017,0
84,309.664,20.2787909,86.293416,0
85,988.0,22.2776727,86.0702321,0
86,330.667,21.2679943,85.4678515,0
87,387.0,21.2315202,83.6157737,1
88,503.112,18.073723333333334,81.74869333333334,2
89,1211.832,21.5712418,87.0804328,0
90,426.083,21.685506,87.415259,0
91,1082.716,19.9069055,83.1614229,2
92,352.273,20.6086542,85.1957634,0
93,391.25,20.7691865,86.1526994,0
94,405.084,21.0704838,84.4041567,1
95,341.336,22.277898,86.0702703,0
96,319.003,21.0553899,82.7935172,1
97,480.913,21.8427443,86.9451885,0
98,462.666,22.0258021,86.9443441,0
99,412.169,22.5204542,86.0805671,0
100,420.079,20.2220912,86.5363084,0
101,1215.48,20.7061731,83.4871676,1
102,598.5,21.0818797,83.5257965,1
103,558.375,20.32404,86.5355556,0
104,311.0,20.8194115,86.1998766,0
105,547.087,20.7099256,83.5084062,1
106,365.556,19.346376666666668,83.12413,2
107,374.416,19.276968333333333,82.23857666666666,2
108,686.0,22.4647555,84.085213,1
109,2592.991,21.9388758,86.7472478,0
110,342.33,20.6851502,83.4736607,1
111,549.272,20.2896421,86.0986123,0
112,519.308,20.8472177,83.8931229,1
113,377.889,19.54710833333333,83.366005,2
114,395.136,19.4826488,84.7453826,2
115,330.003,20.8053894,86.2384944,0
116,791.415,20.4499929,85.9266914,0
117,301.415,21.0014643,83.0596867,1
118,439.913,20.7691148,86.1524381,0
119,402.968,20.2939023,82.7600937,2
120,394.83,21.07971,86.6351282,0
121,307.727,19.0479738,82.5534096,2
122,718.0,20.3182075,86.1005598,0
123,1873.17,20.6012041,84.7850605,1
124,444.222,19.3643415,83.7065697,2
125,321.338,22.1039536,86.7635697,0
126,306.502,20.7746456,85.3851517,0
127,619.583,21.472894,84.3883642,1
128,302.419,20.3890041,86.407769,0
129,594.249,20.9881716,85.9879442,0
130,512.253,20.8238428,83.9125442,1
131,1254.0,20.7080341,83.1322231,1
132,572.5,20.9556069,83.6826781,1
133,524.0,20.8302225,86.2007926,0
134,390.667,19.326633333333334,83.98909166666667,2
135,751.0,20.4550724,86.4577698,0
136,330.17,22.264965,86.1744932,0
137,357.913,20.769326,86.1524973,0
138,543.585,22.074177,86.6501082,0
139,580.17,21.2477991,83.708154,1
140,384.167,22.4026389,84.7324032,1
141,356.0,21.1756079,83.4413601,1
142,483.0,22.4433833,86.0744548,0
143,603.087,20.3820392,85.532745,0
144,423.332,20.643886,84.8436368,1
145,305.5,20.4575812,83.4136117,1
146,613.228,18.8650803,82.5730154,2
147,317.581,21.7059144,87.2198666,0
148,520.334,20.5022978,82.6714913,1
149,420.0,22.4059899,86.1841646,0
150,436.498,20.2913099,82.6650306,2
151,371.0,21.7661826,85.9730429,0
152,310.0,21.4910196,87.0422349,0
153,344.724,20.3410397,82.8546438,1
154,453.668,20.8345262,86.4772543,0
155,342.0,18.9344517,83.2600125,2
156,428.332,20.268861,86.5046247,0
157,320.334,19.142165,82.332385,2
158,441.0,22.2925786,84.1055649,1
159,1037.778,18.9719999,84.1571906,2
160,789.0,20.5262332,82.5870754,1
161,792.548,17.8179167,81.4051582,2
162,1742.172,20.2948349,82.7583514,2
163,326.583,20.6399073,82.6151451,1
164,320.245,20.386512,86.4829851,0
165,720.415,20.8338496,86.2006968,0
166,505.249,22.074221,86.650046,0
167,558.222,19.03623333333333,83.16699166666666,2
168,519.25,21.3192691,86.7359555,0
169,716.83,20.7011142,86.1338258,0
170,533.668,20.1403081,86.3751479,0
171,370.0,21.9050895,87.1145976,0
172,398.836,20.6274094,84.4256847,1
173,838.111,19.597495,83.881165,2
174,389.112,19.142201666666665,82.31936666666667,2
175,308.498,20.5992213,86.8168291,0
176,359.5,20.4517102,83.5139656,1
177,365.556,18.880696666666665,82.562125,2
178,347.889,19.4428121,83.6016726,2
179,461.0,20.9890691,85.9883717,0
180,538.5,21.2672386,83.5501336,1
181,343.998,21.8711,83.9863324,1
182,544.664,20.899238,85.4061454,0
183,762.666,17.984923333333334,81.58056333333333,2
184,380.415,21.51481666666667,86.53555,0
185,646.664,21.7925417,85.8963722,0
186,426.555,18.7268952,82.2111469,2
187,938.415,20.7065984,86.1109602,0
188,372.75,22.3048847,86.1856974,0
189,451.0,21.5407005,86.2186401,0
190,596.917,22.0636449,86.6493346,0
191,470.417,20.693517,84.0067361,1
192,421.0,22.2916651,84.1056838,1
193,369.0,21.923805,86.71677666666666,0
194,302.667,19.0905959,84.3242397,2
195,336.253,22.2057181,86.1315718,0
196,548.334,19.482015,82.80646833333333,2
197,373.333,19.658941666666667,82.13051333333334,2
198,701.0,21.6586172,86.4983095,0
199,2126.032,19.3122045,84.8024315,2
200,358.5,20.6665162,83.3202428,1
201,400.245,21.923725,86.716485,0
202,483.555,19.38470833333333,82.98647,2
203,310.328,20.7691481,86.1529767,0
204,356.337,20.8077095,82.5357871,1
205,324.333,19.1803239,83.0934384,2
206,422.556,18.554221666666667,82.20747,2
207,340.0,20.8813841,85.4300322,0
208,325.167,21.4048097,83.9881745,1
209,373.445,19.0501394,84.1485919,2
210,360.5,20.6985815,84.1325703,1
211,655.166,21.6663224,83.6124519,1
212,429.996,21.1983018,86.5991235,0
213,878.556,19.0490442,82.5534301,2
214,527.0,20.9404733,85.3349881,0
215,564.0,22.1848495,86.1152286,0
216,1472.112,18.36452,81.89206333333334,2
217,342.5,21.4937804,83.9899776,1
218,956.466,21.784186666666667,84.58420833333334,1
219,648.167,21.0473117,82.7797863,1
220,370.664,20.7289416,84.9832155,0
221,461.085,20.7929216,83.2664651,1
222,426.336,20.852613,85.947677,0
223,455.082,20.7693377,86.1528019,0
224,342.0,18.645696666666662,82.66295666666667,2
225,435.417,21.7529253,84.6077046,1
226,571.892,19.2318162,82.5490426,2
227,371.166,21.6289834,86.1131187,0
228,712.445,18.8781144,82.7530785,2
229,302.667,18.853231666666662,83.87167666666667,2
230,585.0,21.7614357,83.7730479,1
231,344.999,21.4301853,83.6463537,1
232,364.332,20.9179401,83.3249021,1
233,573.336,21.2767899,86.6146602,0
234,383.516,19.3056383,84.7950458,2
235,353.778,19.3505176,83.7875528,2
236,575.889,19.6038437,83.6520707,2
237,417.076,21.4166844,83.8681687,1
238,341.0,19.239065,83.823135,2
239,1526.244,20.4662249,82.9202893,1
240,353.778,20.04635,81.93417833333334,2
241,941.445,18.073526666666663,81.75049833333334,2
242,843.222,20.205146666666668,82.92942166666667,2
243,308.747,20.5051013,86.4678807,0
244,309.664,22.1592229,86.4109196,0
245,484.083,20.7160894,85.5315693,0
246,574.332,19.3435228,83.5937979,2
247,1830.238,21.3377463,83.6226186,1
248,1805.38,20.9975994,83.0612536,1
249,461.087,21.2948552,86.6901775,0
250,680.0,20.7914401,86.4019977,0
251,370.0,20.6366423,86.3342321,0
